Buy Date,Sell Date,Buy Price,Sell Price,Profit
2023-12-12,2023-12-13,1386,1377,-9
2023-12-15,2024-01-12,1381,1381,0
2024-02-09,2024-02-12,1351,1343,-8
2024-02-13,2024-02-21,1356,1395,39
2024-02-22,2024-02-23,1390,1396,6
2024-02-28,2024-02-29,1402,1405,3
2024-03-08,2024-03-12,1411,1414,3
2024-03-13,2024-03-14,1417,1430,13
2024-03-15,2024-03-18,1450,1460,10
2024-03-19,2024-03-20,1479,1461,-18
2024-03-21,2024-03-22,1448,1461,13
2024-04-02,2024-04-03,1464,1457,-7
2024-04-15,2024-04-16,1515,1497,-18
2024-04-17,2024-04-29,1487,1429,-58
2024-04-30,2024-05-03,1433,1418,-15
2024-05-20,2024-05-21,1366,1379,13
2024-05-22,2024-05-29,1378,1387,9
2024-05-30,2024-05-31,1390,1399,9
2024-07-04,2024-07-05,1430,1429,-1
2024-07-11,2024-08-05,1413,1440,27
2024-08-22,2024-08-23,1356,1337,-19
